MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,TOTAL,위도,경도
서울특별시,11,11110,종로구,1,37.575244311344534,126.96864919560345
서울특별시,11,11110,종로구,1,37.58603576111707,126.96623642756742
서울특별시,11,11110,종로구,1,37.56904543871904,126.98118628974944
서울특별시,11,11110,종로구,2,37.57802555880444,126.9776680535621
서울특별시,11,11110,종로구,1,37.57354038632815,126.9799932465602
서울특별시,11,11110,종로구,1,37.57530320923251,126.97544093458971
서울특별시,11,11110,종로구,1,37.571738514620144,126.98001771939435
서울특별시,11,11110,종로구,1,37.56911326403202,126.98910936131753
서울특별시,11,11110,종로구,2,37.5871609382641,126.99226317724722
서울특별시,11,11110,종로구,1,37.575563415487565,127.00600400218246
서울특별시,11,11110,종로구,2,37.575534894332954,127.00260808643371
서울특별시,11,11110,종로구,1,37.58631755413687,126.99906806132063
서울특별시,11,11110,종로구,1,37.58628882650064,126.99567166428336
서울특별시,11,11110,종로구,1,37.588991640175195,126.9956355009317
서울특별시,11,11110,종로구,1,37.57474744755713,127.01620357960776
서울특별시,11,11140,중구,1,37.55718618104088,126.96436984791012
서울특별시,11,11140,중구,1,37.55988898186721,126.96433259193428
서울특별시,11,11140,중구,1,37.56358126802803,126.97446891116414
서울특별시,11,11140,중구,1,37.564531022109264,126.98011558892198
서울특별시,11,11140,중구,1,37.56368830722075,126.98691852893448
서울특별시,11,11140,중구,1,37.55921256969449,126.9903744256237
서울특별시,11,11140,중구,1,37.56369797297621,126.98805031562871
서울특별시,11,11140,중구,1,37.566381446514825,126.9857502518116
서울특별시,11,11140,중구,1,37.56554802082802,126.99368512117978
서울특별시,11,11140,중구,1,37.564618211971585,126.99030178202334
서울특별시,11,11140,중구,1,37.55391225358605,127.0028951026316
서울특별시,11,11140,중구,1,37.563803580395664,127.00050000482447
서울특별시,11,11140,중구,1,37.56377490853469,126.99710462860034
서울특별시,11,11140,중구,1,37.55752554446009,127.00397898676508
서울특별시,11,11140,중구,1,37.564714059115865,127.001619825602
서울특별시,11,11140,중구,1,37.56740735081843,127.00045205765427
서울특별시,11,11170,용산구,1,37.537266272446615,126.9533291276559
서울특별시,11,11170,용산구,1,37.53282132046376,126.9601796816498
서울특별시,11,11170,용산구,1,37.53103926562041,126.9624671626516
서울특별시,11,11170,용산구,1,37.548147138924115,126.96109936915788
서울특별시,11,11170,용산구,1,37.54813721831143,126.95996782714214
서울특별시,11,11170,용산구,1,37.54485509607094,126.99735706902734
서울특별시,11,11200,성동구,1,37.564939666527046,127.02878334672215
서울특별시,11,11200,성동구,1,37.56758669545967,127.02195725362012
서울특별시,11,11200,성동구,2,37.56407570867034,127.03332222038665
서울특별시,11,11200,성동구,1,37.566760086740665,127.03102374932564
서울특별시,11,11200,성동구,1,37.54168893738122,127.05058389661524
서울특별시,11,11200,성동구,1,37.55064397588785,127.04368047624962
서울특별시,11,11230,동대문구,1,37.577497116283034,127.02182820364673
서울특별시,11,11290,성북구,1,37.59087941895128,127.00580120875922
서울특별시,11,11290,성북구,1,37.586374716304874,127.0058608698336
서울특별시,11,11290,성북구,1,37.61335522475645,126.99983998142403
서울특별시,11,11290,성북구,1,37.59456821376224,127.01594382401915
서울특별시,11,11290,성북구,1,37.59545975082147,127.01479973361303
서울특별시,11,11290,성북구,1,37.59365786671209,127.01482338662741
서울특별시,11,11290,성북구,1,37.591057883089015,127.02731319067824
서울특별시,11,11290,성북구,1,37.58836432797227,127.02848038518798
서울특별시,11,11290,성북구,1,37.60097756754189,127.02831710658677
서울특별시,11,11290,성북구,1,37.606308613912,127.0191875387247
서울특별시,11,11290,성북구,1,37.60821292529814,127.0316211843486
서울특별시,11,11305,강북구,1,37.66565696479052,127.00480889023704
서울특별시,11,11305,강북구,1,37.6350538014703,127.0086144499029
서울특별시,11,11305,강북구,1,37.633289757206015,127.01316968251876
서울특별시,11,11305,강북구,1,37.64947820753105,127.00955677853122
서울특별시,11,11305,강북구,1,37.62883210528336,127.01889290593404
서울특별시,11,11305,강북구,1,37.640553662720514,127.0198725295496
서울특별시,11,11305,강북구,1,37.6441574069553,127.01982538519869
서울특별시,11,11320,도봉구,1,37.64782649989861,127.0277097504134
서울특별시,11,11320,도봉구,1,37.66130324754649,127.0230011694347
서울특별시,11,11320,도봉구,1,37.63439562307696,127.03808095081344
서울특별시,11,11320,도봉구,1,37.65603657690528,127.04006970836161
서울특별시,11,11320,도봉구,1,37.661414613727,127.036600555362
서울특별시,11,11320,도봉구,1,37.664071209293795,127.03089915246885
서울특별시,11,11320,도봉구,1,37.6695230462986,127.03649620859068
서울특별시,11,11320,도봉구,1,37.672188892368716,127.03192762271479
서울특별시,11,11380,은평구,1,37.60545223725183,126.9206670579844
서울특별시,11,11380,은평구,1,37.610805991487815,126.91492687134777
서울특별시,11,11380,은평구,1,37.620747084942785,126.91818129052673
서울특별시,11,11380,은평구,1,37.60370185012211,126.92635483531755
서울특별시,11,11380,은평구,1,37.61452308741512,126.92733256321479
서울특별시,11,11410,서대문구,1,37.56940526650622,126.92005340776721
서울특별시,11,11410,서대문구,1,37.5684526461965,126.91440719589775
서울특별시,11,11410,서대문구,1,37.58200779615899,126.9187399130343
서울특별시,11,11410,서대문구,1,37.55688472520396,126.93041969599668
서울특별시,11,11410,서대문구,2,37.56322178185024,126.93372517550075
서울특별시,11,11410,서대문구,1,37.56946695190961,126.92684451093886
서울특별시,11,11410,서대문구,1,37.58482351882482,126.93115388863745
서울특별시,11,11410,서대문구,1,37.566066037626946,126.94953207642199
